,Uur op de dag,Intensiteit per uur,Motor/personenauto (%),Licht vrachtverkeer (%),Zwaar vrachtverkeer (%),Onbepaald  (%),Gemiddelde alle voertuigen,Motor/personenauto,Licht vrachtverkeer,Zwaar vrachtverkeer
0,00:00 - 00:59,315.75,87.07179543882833,5.029455001664946,6.072233711440758,1.8265158480659807,106.25,107.75,94.5,84.5
1,01:00 - 01:59,176.0,78.1748106948992,7.826666190764496,11.033861267232364,2.964661847103936,104.25,107.5,97.25,83.5
2,02:00 - 02:59,122.25,74.05890004041652,7.915362767292072,15.588332393007244,2.437404799284184,104.25,107.25,100.75,84.0
3,03:00 - 03:59,125.25,67.68218029350106,10.93508036338225,18.1937106918239,3.1890286512928023,101.75,107.0,96.0,84.75
4,04:00 - 04:59,200.5,62.61523677320641,13.71429211206251,20.98964620311869,2.6808249116123877,102.25,107.25,94.0,85.0
5,05:00 - 05:59,1062.25,79.6439218251695,8.123287127310162,9.549066332456077,2.6837247150642596,106.75,108.75,97.0,84.25
6,06:00 - 06:59,4416.75,85.97430980972868,7.813146822282993,3.3844657978523296,2.8280775701359855,102.5,103.5,99.25,84.5
7,07:00 - 07:59,6131.75,88.87906086713329,6.019751247247102,2.3105179933680615,2.790669892251545,97.75,98.25,95.25,83.5
8,08:00 - 08:59,5830.5,89.35424616821985,4.869791406147796,2.7000349778717636,3.075927447760588,83.0,83.25,80.5,73.25
9,09:00 - 09:59,4385.75,85.73867587401587,7.012518962896433,4.2499130171747135,2.9988921459129774,88.25,89.0,84.0,74.25
10,10:00 - 10:59,3049.75,81.64440282938811,9.024150549467937,6.221611342348757,3.109835278795187,85.0,85.75,79.75,71.0
11,11:00 - 11:59,2884.75,81.50557164751498,8.75561583499178,6.676357980088637,3.0624545374046015,87.25,88.25,81.0,71.75
12,12:00 - 12:59,3184.75,82.84128081330019,8.242228758644625,6.115218964507499,2.801271463547681,103.0,103.75,97.0,85.75
13,13:00 - 13:59,3224.0,83.30659721778872,8.168804421909755,5.8964359241513655,2.6281624361501628,103.25,104.25,97.0,86.25
14,14:00 - 14:59,3579.25,83.87593061651017,7.9016463669200165,5.69097210278552,2.5314509137842807,102.5,103.25,98.0,86.0
15,15:00 - 15:59,4217.75,86.72651581212253,6.406472928097812,4.461833869715838,2.405177390063827,102.25,103.25,98.75,86.0
16,16:00 - 16:59,4142.5,89.14065807334902,4.443603341997946,3.554537360319859,2.861201224333165,103.0,103.75,99.0,85.25
17,17:00 - 17:59,4391.75,92.00828345224305,2.6451960543836837,2.4940929992401815,2.852427494133082,102.75,102.75,98.0,84.75
18,18:00 - 18:59,3368.75,92.36036508140779,2.777143584674414,2.252874148983753,2.6096171849340335,104.75,105.0,96.75,84.25
19,19:00 - 19:59,2122.0,91.83779850432012,2.746040523017982,2.6496943005757063,2.7664666720861897,106.5,107.0,97.75,84.25
20,20:00 - 20:59,1417.25,91.17728664268873,3.0172845168054367,3.190988463786431,2.6144403767194095,103.75,104.5,93.0,82.75
21,21:00 - 21:59,1235.5,91.83176534455689,2.730667208126372,2.8618538417126005,2.575713605604141,104.25,104.75,97.0,82.75
22,22:00 - 22:59,1181.25,93.77092641931443,1.9202699652887998,1.793448014827884,2.5153556005688835,104.25,104.5,92.5,82.5
23,23:00 - 23:59,680.25,92.4018458483583,2.2530788682160434,3.221819021554115,2.1232562618715405,104.5,104.5,95.25,84.0
