,x,y
0,48668,0
1,49379,0
2,49830,2
3,49487,1
4,49177,0
5,49973,0
6,49311,1
7,49213,1
8,49831,1
9,49735,2
10,49646,1
11,48450,1
12,49007,0
13,49027,1
14,48355,0
15,48498,2
16,47218,1
17,48204,1
18,48345,0
19,48536,0
20,48255,1
21,49329,2
22,46974,0
23,48453,2
24,46392,1
25,45177,1
26,48190,2
27,48340,1
28,48103,1
29,47675,0
30,47992,0
31,46758,1
32,46044,2
33,46800,0
34,46051,0
35,45376,0
36,46065,1
37,47472,1
38,42776,0
39,47366,0
40,44077,0
41,45671,1
42,46231,0
43,45870,0
44,44899,0
45,44759,1
46,45547,2
47,46496,0
48,45214,0
49,43710,0
50,41281,0
51,45055,2
52,44004,0
53,45678,0
54,41136,0
55,42359,1
56,43295,0
57,44565,0
58,44202,1
59,41006,2
60,43723,1
61,44728,0
62,44459,0
63,43401,1
64,39408,1
65,41273,2
66,42497,0
67,43063,0
68,41812,0
69,43014,1
70,43461,0
71,42548,0
72,40141,0
73,41224,1
74,41748,2
75,41492,2
76,42293,0
77,41465,0
78,39964,0
79,40973,0
80,40669,0
81,41122,1
82,40038,2
83,39687,0
84,40722,1
85,42027,1
86,39714,2
87,40923,1
88,41538,1
89,39604,0
90,39811,2
91,40806,0
92,39414,0
93,39811,1
94,40296,0
95,37916,0
96,40020,1
97,38831,0
98,39606,2
99,39054,1
100,39054,0
101,38852,1
102,36626,1
103,37898,1
104,38185,1
105,38502,0
106,38088,0
107,37360,0
108,35899,2
109,37674,0
110,37469,1
111,36897,0
112,37122,0
113,36846,2
114,36666,0
115,36361,1
116,36432,0
117,36156,0
118,35516,0
119,35880,0
120,35880,1
121,35728,1
122,35457,1
123,35328,2
124,35328,0
125,34914,0
126,34562,2
127,34638,0
128,33845,1
129,34500,1
130,33207,2
131,33478,1
132,32401,0
133,33415,0
134,34086,0
135,34303,0
136,33810,0
137,32778,0
138,32088,1
139,33244,1
140,33188,0
141,32982,1
142,33011,0
143,31785,0
144,32706,1
145,32016,0
146,31602,0
147,31602,1
148,31050,0
149,30774,0
150,30622,0
151,30636,1
152,29808,0
153,29808,1
154,29532,0
155,29118,0
156,28980,1
157,28842,0
158,28704,1
159,28566,0
160,28566,2
161,28428,1
162,28290,2
163,28014,0
164,27876,1
165,26894,0
166,27689,1
167,27600,0
168,27324,0
169,27186,1
170,27048,0
171,26772,1
172,26496,0
173,26220,0
174,26082,1
175,25944,0
176,25806,1
177,25668,2
178,25530,0
179,25511,1
180,25254,0
181,25056,0
182,25116,1
183,24915,1
184,24903,0
185,24702,0
186,24702,2
187,24702,1
188,24517,0
189,24288,0
190,23874,0
191,23598,0
192,23322,0
193,23184,1
194,23149,0
195,23046,2
196,22689,1
197,22974,0
198,22770,0
199,22218,0
200,22218,1
201,22080,2
202,21804,0
203,21666,1
204,21528,0
205,21252,1
206,21252,0
207,21114,2
208,20976,0
209,19419,1
210,20643,0
211,20562,1
212,18010,1
213,20147,1
214,20286,0
215,20010,2
216,17719,0
217,19136,0
218,17858,2
219,19596,0
220,18485,1
221,18954,0
222,17976,0
223,19182,0
224,19002,1
225,18766,0
226,18724,1
227,17359,0
228,18283,0
229,18492,0
230,16593,1
231,17039,1
232,17505,0
233,16943,0
234,17526,2
235,17526,1
236,16712,0
237,16422,1
238,16422,0
239,16237,1
240,16226,0
241,15770,1
242,16004,0
243,16146,1
244,14113,0
245,16008,2
246,15591,0
247,15270,0
248,14752,0
249,13109,1
250,15318,1
251,13788,1
252,15166,0
253,14904,0
254,14554,0
255,14583,1
256,14330,0
257,12781,0
258,13545,1
259,13443,2
260,13628,0
261,12777,1
262,14076,1
263,13835,0
264,11850,2
265,12097,1
266,13386,0
267,12503,0
268,13153,0
269,11732,0
270,11429,0
271,12818,2
272,12096,0
273,11848,0
274,11025,0
275,12247,0
276,12420,0
277,9657,0
278,10649,2
279,12033,2
280,11591,1
281,11454,1
282,10533,0
283,11228,0
284,9844,0
285,10437,1
286,10256,0
287,10819,0
288,9682,2
289,10767,1
290,8690,0
291,10018,2
292,9186,0
293,10074,0
294,8647,0
295,8801,0
296,8374,0
297,8838,1
298,9384,1
299,8970,2
300,8694,1
301,7494,1
302,8418,0
303,7492,0
304,8004,0
305,7350,2
306,7728,0
307,7282,1
308,7452,0
309,7237,0
310,7296,0
311,6436,0
312,7176,2
313,6996,0
314,6900,1
315,6624,0
316,6348,1
317,6157,1
318,6210,2
319,5734,1
320,6030,0
321,4301,0
322,5759,2
323,5796,0
324,5610,2
325,5244,0
326,5106,1
327,4901,0
328,4062,0
329,4758,2
330,4416,0
331,4182,1
332,4416,1
333,3731,0
334,4204,1
335,2878,1
336,4140,2
337,4002,1
338,3281,2
339,3864,2
340,3726,1
341,3546,2
342,3450,0
343,3258,1
344,2928,0
345,3174,2
346,2898,2
347,2760,0
348,2622,1
349,2346,0
350,2070,0
351,2070,2
352,1518,0
353,1380,1
354,1380,2
355,1184,1
356,966,1
357,966,2
358,828,0
359,784,1
360,138,2
361,138,1
