,Avg_speed,Lane_speeds,Cars_in_lane
0,99.0,"[99.0, 99.0, nan]","[1, 1, 0]"
1,99.0,"[99.0, 99.0, nan]","[1, 2, 0]"
2,99.0,"[99.0, 99.0, 99.0]","[1, 2, 1]"
3,99.0,"[99.0, 99.0, 99.0]","[2, 1, 1]"
4,97.56,"[96.6, 99.0, 99.0]","[3, 1, 1]"
5,84.60000000000001,"[70.2, 99.0, nan]","[3, 3, 0]"
6,85.2,"[78.3, 99.0, nan]","[4, 2, 0]"
7,71.39999999999999,"[57.6, 99.0, nan]","[4, 2, 0]"
8,79.2,"[59.4, 99.0, 99.0]","[4, 3, 1]"
9,80.10000000000001,"[68.76, 99.0, 99.0]","[5, 2, 1]"
10,81.0,"[63.0, 99.0, 99.0]","[4, 3, 1]"
11,83.80000000000001,"[71.64, 99.0, 99.0]","[5, 3, 1]"
12,87.21818181818182,"[77.4, 99.0, 99.0]","[6, 3, 2]"
13,90.25714285714287,"[81.51428571428572, 99.0, 99.0]","[7, 5, 2]"
14,90.45,"[83.25, 96.84, 99.0]","[8, 5, 3]"
15,88.53750000000001,"[80.775, 96.84, 95.4]","[8, 5, 3]"
16,90.0,"[82.35000000000001, 97.5, 95.4]","[8, 6, 3]"
17,92.07,"[87.38181818181819, 99.0, 95.4]","[11, 6, 3]"
18,92.61000000000001,"[89.01818181818182, 96.42857142857143, 99.0]","[11, 7, 2]"
19,93.15,"[88.92, 96.97500000000001, 99.0]","[10, 8, 2]"
20,94.11428571428571,"[90.18, 98.10000000000001, 96.6]","[10, 8, 3]"
21,92.14285714285714,"[88.03636363636363, 96.68571428571428, 96.6]","[11, 7, 3]"
22,93.27272727272728,"[89.7, 97.80000000000001, 97.2]","[12, 6, 4]"
23,90.4909090909091,"[93.10909090909091, 85.4, 99.0]","[11, 9, 2]"
24,87.88695652173914,"[81.12857142857143, 98.22857142857143, 99.0]","[14, 7, 2]"
25,85.38260869565217,"[81.9, 87.0, 99.0]","[12, 9, 2]"
26,82.8,"[71.72307692307693, 96.75, 99.0]","[13, 8, 2]"
27,82.8,"[77.85000000000001, 85.8, 99.0]","[12, 9, 2]"
28,84.30000000000001,"[77.01428571428572, 97.2, 88.2]","[14, 7, 3]"
29,84.0,"[78.48, 90.3, 99.0]","[15, 6, 3]"
30,81.72,"[83.64, 83.925, 58.5]","[15, 8, 2]"
31,82.72800000000001,"[84.08571428571429, 79.2, 99.0]","[14, 10, 1]"
32,83.232,"[76.32, 92.25, 99.0]","[15, 8, 2]"
33,84.73846153846155,"[79.32000000000001, 89.55, 99.0]","[15, 8, 3]"
34,85.70769230769231,"[82.58823529411765, 90.675, 99.0]","[17, 8, 1]"
35,87.62142857142858,"[84.5, 90.77142857142857, 99.0]","[18, 7, 3]"
36,87.55714285714286,"[81.5, 98.39999999999999, 99.0]","[18, 9, 1]"
37,88.63448275862069,"[85.45263157894738, 94.68, nan]","[19, 10, 0]"
38,89.76,"[90.09473684210526, 89.18181818181819, nan]","[19, 11, 0]"
39,90.81290322580645,"[89.73, 92.16000000000001, 99.0]","[20, 10, 1]"
40,91.85454545454546,"[89.82857142857144, 94.68, 99.0]","[21, 10, 2]"
41,92.88000000000001,"[91.02857142857142, 95.4, 99.0]","[21, 13, 1]"
42,93.0,"[92.45454545454547, 96.3, 79.2]","[22, 12, 2]"
43,93.39999999999999,"[92.78999999999999, 96.0923076923077, 85.8]","[20, 13, 3]"
44,93.98918918918919,"[94.54285714285714, 91.93846153846155, 99.0]","[21, 13, 3]"
45,93.35675675675675,"[91.8857142857143, 94.75714285714287, 99.0]","[21, 14, 2]"
46,93.89189189189189,"[94.28571428571429, 92.57142857142858, 99.0]","[21, 14, 2]"
47,93.16216216216216,"[90.36000000000001, 99.0, 99.0]","[25, 11, 1]"
48,93.41052631578947,"[90.15, 99.0, 99.0]","[24, 11, 3]"
49,93.41538461538462,"[90.54782608695652, 97.2, 99.0]","[23, 13, 3]"
50,93.92307692307693,"[92.664, 95.4, 99.0]","[25, 11, 3]"
51,94.43076923076923,"[93.024, 96.78461538461538, 99.0]","[25, 13, 1]"
